StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0088,4,2,8
0088,4,3,8
0088,4,4,1
0089,3,1,4
0089,3,2,1
0089,3,3,1
0090,5,1,10
0090,5,2,10
0090,5,3,8
0090,5,4,1
0090,5,5,1
0091,9,1,10
0091,9,2,9
0091,9,3,1
0091,9,4,8
0091,9,5,8
0091,9,6,9
0091,9,7,8
0091,9,8,7
0091,9,9,4
0092,5,1,1
0092,5,2,8
0092,5,3,9
0092,5,4,1
0092,5,5,9
0093,9,1,8
0093,9,2,8
0093,9,3,1
0093,9,4,8
0093,9,5,8
0093,9,6,7
0093,9,7,7
0093,9,8,2
0093,9,9,1
0094,1,1,1
0096,8,1,8
0096,8,2,8
0096,8,3,2
0096,8,4,8
0096,8,5,7
0096,8,6,6
0096,8,7,1
0096,8,8,1
0097,2,1,8
0097,2,2,6
0098,2,1,7
0098,2,2,1
0099,6,1,9
0099,6,2,8
0099,6,3,9
0099,6,4,8
0099,6,5,1
0099,6,6,2
0101,14,1,9
0101,14,2,9
0101,14,3,8
0101,14,4,8
0101,14,5,1
0101,14,6,1
0101,14,7,8
0101,14,8,8
0101,14,9,2
0101,14,10,3
0101,14,11,8
0101,14,12,7
0101,14,13,2
0101,14,14,1
0102,1,1,5
0104,4,1,9
0104,4,2,8
0104,4,3,8
0104,4,4,1
0105,7,1,9
0105,7,2,9
0105,7,3,8
0105,7,4,8
0105,7,5,9
0105,7,6,8
0105,7,7,1
0106,2,1,8
0106,2,2,8
0107,4,1,9
0107,4,2,9
0107,4,3,9
0107,4,4,1
0108,5,1,8
0108,5,2,9
0108,5,3,9
0108,5,4,9
0108,5,5,1
0111,2,1,7
0111,2,2,1
0113,2,1,10
0113,2,2,10
0114,3,1,6
0114,3,2,7
0114,3,3,4
0115,1,1,1
0116,6,1,9
0116,6,2,8
0116,6,3,8
0116,6,4,3
0116,6,5,1
0116,6,6,2
0117,5,1,10
0117,5,2,8
0117,5,3,1
0117,5,4,9
0117,5,5,9
0118,3,1,10
0118,3,2,4
0118,3,3,1
0119,5,1,9
0119,5,2,10
0119,5,3,9
0119,5,4,7
0119,5,5,1
0120,5,1,11
0120,5,2,10
0120,5,3,8
0120,5,4,8
0120,5,5,10
0121,4,1,9
0121,4,2,10
0121,4,3,8
0121,4,4,8
0122,5,1,6
0122,5,2,2
0122,5,3,1
0122,5,4,7
0122,5,5,6
0123,3,1,10
0123,3,2,8
0123,3,3,9
0124,5,1,9
0124,5,2,11
0124,5,3,1
0124,5,4,10
0124,5,5,9
0125,4,1,10
0125,4,2,9
0125,4,3,8
0125,4,4,8
0126,7,1,9
0126,7,2,9
0126,7,3,2
0126,7,4,8
0126,7,5,6
0126,7,6,5
0126,7,7,2
0127,4,1,10
0127,4,2,9
0127,4,3,7
0127,4,4,6
0128,8,1,8
0128,8,2,1
0128,8,3,8
0128,8,4,6
0128,8,5,7
0128,8,6,3
0128,8,7,1
0128,8,8,1
0129,4,1,7
0129,4,2,6
0129,4,3,6
0129,4,4,1
0130,7,1,10
0130,7,2,11
0130,7,3,1
0130,7,4,1
0130,7,5,9
0130,7,6,9
0130,7,7,1
0131,12,1,10
0131,12,2,10
0131,12,3,1
0131,12,4,8
0131,12,5,8
0131,12,6,1
0131,12,7,9
0131,12,8,8
0131,12,9,1
0131,12,10,1
0131,12,11,5
0131,12,12,4
0132,5,1,8
0132,5,2,6
0132,5,3,8
0132,5,4,4
0132,5,5,1
0133,2,1,1
0133,2,2,7
0134,3,1,9
0134,3,2,8
0134,3,3,1
0135,5,1,10
0135,5,2,9
0135,5,3,8
0135,5,4,9
0135,5,5,2
0136,6,1,10
0136,6,2,9
0136,6,3,9
0136,6,4,9
0136,6,5,8
0136,6,6,1
0138,4,1,9
0138,4,2,8
0138,4,3,8
0138,4,4,2
0139,6,1,9
0139,6,2,10
0139,6,3,1
0139,6,4,8
0139,6,5,8
0139,6,6,1
0140,4,1,9
0140,4,2,9
0140,4,3,9
0140,4,4,8
0141,6,1,9
0141,6,2,10
0141,6,3,8
0141,6,4,8
0141,6,5,7
0141,6,6,9
0142,11,1,9
0142,11,2,10
0142,11,3,9
0142,11,4,11
0142,11,5,1
0142,11,6,9
0142,11,7,7
0142,11,8,1
0142,11,9,6
0142,11,10,6
0142,11,11,1
0143,6,1,9
0143,6,2,10
0143,6,3,8
0143,6,4,10
0143,6,5,1
0143,6,6,1
0145,3,1,9
0145,3,2,9
0145,3,3,9
0146,7,1,10
0146,7,2,9
0146,7,3,1
0146,7,4,9
0146,7,5,8
0146,7,6,1
0146,7,7,8
0147,6,1,10
0147,6,2,10
0147,6,3,8
0147,6,4,8
0147,6,5,1
0147,6,6,9
0149,8,1,9
0149,8,2,10
0149,8,3,9
0149,8,4,8
0149,8,5,1
0149,8,6,8
0149,8,7,7
0149,8,8,7
0150,2,1,9
0150,2,2,9
0151,7,1,10
0151,7,2,9
0151,7,3,9
0151,7,4,8
0151,7,5,2
0151,7,6,10
0151,7,7,9
0152,4,1,10
0152,4,2,9
0152,4,3,8
0152,4,4,9
0154,5,1,8
0154,5,2,1
0154,5,3,6
0154,5,4,7
0154,5,5,3
0155,8,1,10
0155,8,2,10
0155,8,3,9
0155,8,4,8
0155,8,5,1
0155,8,6,8
0155,8,7,8
0155,8,8,1
0156,4,1,9
